temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
21.7,16,1018,5.01,349,680.92,1.37,7.54,110.15,7.63,41.14,69.43,9.5,3,115.0,58.0,115.0,Multan,30.1575,71.5249
20.94,28,1018,4.12,50,741.0,1.51,9.77,105.86,7.45,45.33,74.67,11.27,3,125.0,61.0,125.0,Multan,30.1575,71.5249
20.94,28,1017,3.09,360,988.01,2.18,18.34,87.26,6.62,57.82,92.05,15.2,4,152.0,69.0,152.0,Multan,30.1575,71.5249
20.94,28,1017,3.09,360,1268.39,1.3,31.53,65.8,6.26,70.29,110.58,18.49,4,159.0,79.0,159.0,Multan,30.1575,71.5249
18.94,34,1018,2.06,50,1508.71,0.04,41.81,45.78,6.02,85.09,133.29,22.04,5,166.0,90.0,166.0,Multan,30.1575,71.5249
16.94,42,1019,0.0,0,1922.61,0.08,54.15,27.54,6.97,110.6,168.35,27.61,5,179.0,108.0,179.0,Multan,30.1575,71.5249
15.94,51,1019,0.0,0,2429.96,0.73,68.55,12.52,8.7,142.66,210.66,31.41,5,196.0,129.0,196.0,Multan,30.1575,71.5249
14.48,22,1020,2.62,339,2750.4,2.04,71.97,4.83,9.54,167.7,243.84,31.66,5,218.0,145.0,218.0,Multan,30.1575,71.5249
12.94,62,1021,0.0,0,2803.8,3.24,65.8,2.79,9.3,180.41,262.61,29.39,5,231.0,155.0,231.0,Multan,30.1575,71.5249
10.94,71,1021,0.0,0,2590.18,3.1,55.52,2.82,7.75,172.67,254.64,23.05,5,223.0,,,Multan,30.1575,71.5249
9.94,71,1020,0.0,0,2162.93,1.63,43.53,4.29,4.95,145.53,217.71,14.19,5,197.0,132.0,197.0,Multan,30.1575,71.5249
12.3,21,1020,2.86,335,1735.69,0.45,32.56,8.58,3.13,118.05,176.73,8.74,5,183.0,112.0,183.0,Multan,30.1575,71.5249
11.98,20,1020,2.69,347,1468.66,0.11,24.68,14.31,2.29,100.66,148.17,6.65,5,174.0,97.0,174.0,Multan,30.1575,71.5249
11.68,22,1020,2.73,352,1295.09,0.04,20.56,19.31,1.94,89.42,127.85,5.76,5,169.0,87.0,169.0,Multan,30.1575,71.5249
11.35,24,1019,2.62,345,1214.98,0.03,18.85,21.1,1.83,82.64,116.18,5.76,5,165.0,81.0,165.0,Multan,30.1575,71.5249
11.06,25,1019,2.36,342,1188.28,0.04,18.68,20.74,1.83,79.13,110.22,5.89,5,163.0,78.0,163.0,Multan,30.1575,71.5249
11.06,25,1019,2.36,342,1188.28,0.04,18.68,20.74,1.83,79.13,110.22,5.89,5,163.0,78.0,163.0,Multan,30.1575,71.5249
11.06,25,1019,2.36,342,1188.28,0.04,18.68,20.74,1.83,79.13,110.22,5.89,5,163.0,78.0,163.0,Multan,30.1575,71.5249
11.06,25,1019,2.36,342,1188.28,0.04,18.68,20.74,1.83,79.13,110.22,5.89,5,163.0,78.0,163.0,Multan,30.1575,71.5249
11.04,26,1019,2.09,350,1214.98,0.12,20.22,17.88,2.06,79.36,110.21,6.46,5,163.0,78.0,163.0,Multan,30.1575,71.5249
10.86,26,1020,2.01,346,1548.77,2.18,29.47,6.62,3.58,96.45,133.59,9.5,5,172.0,90.0,172.0,Multan,30.1575,71.5249
4.94,87,1021,0.0,0,2216.34,17.43,35.3,0.63,5.42,128.46,175.73,12.67,5,189.0,111.0,189.0,Multan,30.1575,71.5249
4.94,81,1021,0.0,0,2830.51,35.32,35.99,5.59,6.5,156.29,213.1,15.33,5,207.0,130.0,207.0,Multan,30.1575,71.5249
8.94,76,1022,0.0,0,3231.05,41.57,41.81,14.48,7.39,177.31,239.71,21.28,5,228.0,143.0,228.0,Multan,30.1575,71.5249
12.94,50,1021,0.0,0,3471.37,33.53,57.58,35.05,8.46,199.79,263.59,23.31,5,250.0,155.0,250.0,Multan,30.1575,71.5249
16.94,42,1020,2.06,310,1789.09,8.05,38.04,104.43,13.47,110.37,150.42,11.65,5,179.0,98.0,179.0,Multan,30.1575,71.5249
19.94,28,1018,3.09,310,1575.47,6.09,35.99,131.61,18.36,114.46,149.97,9.88,5,181.0,98.0,181.0,Multan,30.1575,71.5249
20.94,21,1017,2.06,310,1441.96,4.64,34.27,150.2,26.23,118.95,152.02,8.99,5,184.0,99.0,184.0,Multan,30.1575,71.5249
21.94,20,1016,3.09,310,1668.93,4.92,41.81,140.19,33.86,140.25,175.42,11.91,5,195.0,111.0,195.0,Multan,30.1575,71.5249
22.94,18,1016,2.06,310,2109.53,5.25,58.26,113.01,36.24,172.46,213.68,18.75,5,223.0,130.0,223.0,Multan,30.1575,71.5249
21.94,26,1016,0.0,0,2376.56,2.46,75.4,87.26,43.39,190.82,238.33,27.87,5,241.0,142.0,241.0,Multan,30.1575,71.5249
20.94,28,1017,0.0,0,2403.26,0.06,81.57,66.52,46.25,201.82,255.96,36.98,5,252.0,151.0,252.0,Multan,30.1575,71.5249
17.94,39,1017,0.0,0,2429.96,0.0,76.09,50.78,37.67,216.29,277.07,40.02,5,266.0,162.0,266.0,Multan,30.1575,71.5249
14.94,47,1017,0.0,0,2456.67,0.0,67.17,41.48,25.03,230.2,294.71,38.5,5,280.0,171.0,280.0,Multan,30.1575,71.5249
14.94,51,1017,0.0,0,2243.04,0.0,49.35,45.78,15.02,232.59,296.86,32.17,5,282.0,172.0,282.0,Multan,30.1575,71.5249
15.32,16,1017,2.15,174,2029.42,0.0,35.99,56.51,11.56,236.57,299.21,30.65,5,286.0,173.0,286.0,Multan,30.1575,71.5249
10.94,71,1017,0.0,0,1922.61,0.0,29.13,62.23,9.54,237.4,295.5,28.88,5,287.0,171.0,287.0,Multan,30.1575,71.5249
